epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,17834.8,1.17091,1.06529,1.65131,0.94926,0.94489,0.97906,0.70662,0.97662,0.69597,1.57903,0.000813601,0.000813601,0.000813601
89,18035.2,1.19826,1.10408,1.68043,0.9615,0.96217,0.97752,0.71119,0.96478,0.65344,1.58377,0.000806528,0.000806528,0.000806528
90,18235.7,1.19608,1.12876,1.67141,0.94615,0.94974,0.97804,0.70573,0.98318,0.68037,1.57287,0.000799454,0.000799454,0.000799454
91,18434.6,1.15939,1.05323,1.64129,0.94102,0.91441,0.97468,0.68973,0.99027,0.69786,1.61275,0.00079238,0.00079238,0.00079238
92,18635.3,1.14417,1.07079,1.60966,0.98351,0.94994,0.99267,0.72123,0.96487,0.61991,1.58474,0.000785307,0.000785307,0.000785307
93,18833.4,1.16167,1.03358,1.62727,0.82338,0.76556,0.88173,0.52092,1.42307,1.14873,1.95834,0.000778233,0.000778233,0.000778233
94,19045.8,1.15565,1.06698,1.62525,0.95417,0.96319,0.98202,0.69919,0.99369,0.64095,1.5783,0.00077116,0.00077116,0.00077116
95,19242.5,1.17073,0.9965,1.63387,0.955,0.96607,0.98771,0.68206,1.06678,0.67361,1.65631,0.000764086,0.000764086,0.000764086
96,19437.7,1.16067,1.01958,1.61546,0.95798,0.95708,0.98954,0.7129,0.97629,0.62789,1.5797,0.000757013,0.000757013,0.000757013
97,19633.1,1.17764,1.00388,1.65749,0.9834,0.96122,0.98916,0.71415,0.96421,0.62593,1.56627,0.000749939,0.000749939,0.000749939
98,19830.3,1.15627,1.03035,1.66104,0.94264,0.93168,0.98358,0.68144,1.06958,0.71199,1.6013,0.000742866,0.000742866,0.000742866
99,20013.1,1.16757,1.04881,1.64837,0.95124,0.91929,0.98694,0.67344,1.07433,0.67158,1.65818,0.000735792,0.000735792,0.000735792
100,20157.5,1.13974,1.0004,1.62229,0.95711,0.97234,0.99288,0.71383,0.97365,0.62357,1.59256,0.000728719,0.000728719,0.000728719
101,20293.7,1.18003,1.02971,1.63744,0.95807,0.92263,0.98412,0.69864,1.01532,0.68011,1.56343,0.000721645,0.000721645,0.000721645
102,20440.5,1.09419,0.97961,1.58949,0.97853,0.96609,0.98915,0.7319,0.92012,0.60678,1.49915,0.000714571,0.000714571,0.000714571
103,20571.5,1.11402,0.97822,1.60666,0.95904,0.95765,0.99064,0.74031,0.89079,0.60028,1.50307,0.000707498,0.000707498,0.000707498
104,20717.9,1.12985,1.00366,1.6107,0.9829,0.98506,0.99434,0.75179,0.90306,0.59524,1.4914,0.000700424,0.000700424,0.000700424
105,20853.6,1.1169,1.00184,1.60522,0.97266,0.97541,0.99127,0.74138,0.91179,0.57022,1.53661,0.000693351,0.000693351,0.000693351
106,20994.6,1.14506,1.00062,1.61336,0.88583,0.75737,0.88785,0.55084,1.28637,1.10718,1.92236,0.000686277,0.000686277,0.000686277
107,21142.1,1.13707,0.98047,1.60959,0.95855,0.96391,0.98981,0.72606,0.95334,0.61205,1.56975,0.000679204,0.000679204,0.000679204
108,21273.9,1.14059,0.98059,1.63502,0.95957,0.94636,0.9854,0.67917,1.07324,0.67254,1.62312,0.00067213,0.00067213,0.00067213
109,21421.8,1.09674,0.9798,1.5893,0.96867,0.95951,0.99256,0.72978,0.91689,0.63496,1.49964,0.000665057,0.000665057,0.000665057
110,21558.1,1.07295,0.97313,1.55417,0.91715,0.908,0.97564,0.69201,1.02546,0.71734,1.58774,0.000657983,0.000657983,0.000657983
111,21705.8,1.11719,0.96796,1.59234,0.98235,0.97515,0.99394,0.75079,0.87571,0.5624,1.48066,0.000650909,0.000650909,0.000650909
112,21841.4,1.08784,0.96824,1.58362,0.97902,0.98051,0.99003,0.7261,0.91191,0.57403,1.4974,0.000643836,0.000643836,0.000643836
113,21990.5,1.07007,0.9057,1.56354,0.96988,0.97894,0.99288,0.75055,0.8812,0.55883,1.4617,0.000636762,0.000636762,0.000636762
114,22128.8,1.11215,0.97712,1.58045,0.97887,0.97529,0.98608,0.72557,0.92204,0.5975,1.52468,0.000629689,0.000629689,0.000629689
115,22272.1,1.1007,0.96617,1.58446,0.94907,0.94485,0.98603,0.72219,0.95022,0.60474,1.50586,0.000622615,0.000622615,0.000622615
116,22414.5,1.08333,0.96092,1.57233,0.97802,0.98744,0.99368,0.76657,0.84079,0.5584,1.42963,0.000615542,0.000615542,0.000615542
117,22555.3,1.08924,0.92035,1.57442,0.97969,0.97543,0.99243,0.71829,0.90151,0.56959,1.52185,0.000608468,0.000608468,0.000608468
118,22695.8,1.1116,0.9312,1.59116,0.96029,0.98632,0.99237,0.74809,0.86952,0.57888,1.45545,0.000601395,0.000601395,0.000601395
119,22836,1.05768,0.87852,1.55863,0.97954,1,0.99422,0.75589,0.84354,0.52303,1.43873,0.000594321,0.000594321,0.000594321
120,22977.5,1.1092,0.90457,1.58346,0.94574,0.95726,0.99018,0.75176,0.84468,0.5719,1.4533,0.000587248,0.000587248,0.000587248
121,23117.8,1.08222,0.90452,1.546,0.98449,0.97602,0.99349,0.71219,0.95061,0.57278,1.50672,0.000580174,0.000580174,0.000580174
122,23260.6,1.0734,0.93817,1.52927,0.83923,0.85207,0.93661,0.61918,1.13605,0.85563,1.71255,0.0005731,0.0005731,0.0005731
123,23399.9,1.1042,0.92053,1.58507,0.9918,0.9906,0.99422,0.75158,0.87421,0.52668,1.45622,0.000566027,0.000566027,0.000566027
124,23537.3,1.09207,0.93559,1.58161,0.98583,0.98676,0.99467,0.75919,0.85201,0.52873,1.45139,0.000558953,0.000558953,0.000558953
125,23676.3,1.05037,0.91118,1.54881,0.98797,0.98065,0.99454,0.72792,0.90598,0.52831,1.51329,0.00055188,0.00055188,0.00055188
126,23816.2,1.04547,0.89062,1.53572,0.98387,0.98208,0.98988,0.75372,0.8745,0.5429,1.44228,0.000544806,0.000544806,0.000544806
127,23954.5,1.03955,0.88596,1.53246,0.97165,0.96218,0.99243,0.77262,0.81784,0.54247,1.41232,0.000537733,0.000537733,0.000537733
128,24091.9,1.06391,0.87878,1.56022,0.99221,0.98014,0.99452,0.743,0.9354,0.5395,1.47027,0.000530659,0.000530659,0.000530659
129,24231.2,1.03908,0.84736,1.5196,0.98043,0.98085,0.99449,0.74168,0.8623,0.51397,1.45935,0.000523586,0.000523586,0.000523586
130,24371.6,1.05024,0.87848,1.5403,0.98424,0.98307,0.99275,0.76891,0.81362,0.5154,1.44176,0.000516512,0.000516512,0.000516512
131,24512.2,1.03291,0.87852,1.5293,0.9568,0.98039,0.99141,0.76314,0.84268,0.52445,1.42216,0.000509438,0.000509438,0.000509438
132,24652,1.03481,0.84947,1.5406,0.98411,0.99559,0.99459,0.77328,0.79978,0.50636,1.39292,0.000502365,0.000502365,0.000502365
133,24793.8,1.02084,0.85943,1.53415,0.98014,0.98723,0.99414,0.77179,0.79356,0.50023,1.41429,0.000495291,0.000495291,0.000495291
134,24932.5,1.03421,0.85596,1.53284,0.97195,0.95591,0.99295,0.73701,0.89015,0.55474,1.4767,0.000488218,0.000488218,0.000488218
135,25073.4,1.0141,0.88908,1.49558,0.97572,0.96808,0.99256,0.77193,0.82079,0.53403,1.39598,0.000481144,0.000481144,0.000481144
136,25213.2,1.04011,0.90201,1.53376,0.98549,0.99573,0.99434,0.77112,0.81161,0.50562,1.39682,0.000474071,0.000474071,0.000474071
137,25350.1,1.03088,0.85157,1.51684,0.98551,0.98973,0.99454,0.77445,0.76861,0.49063,1.38257,0.000466997,0.000466997,0.000466997
138,25490.1,0.99506,0.87793,1.51438,0.9955,0.98896,0.99495,0.77078,0.82784,0.5018,1.40021,0.000459924,0.000459924,0.000459924
139,25631.3,1.02206,0.86915,1.50127,0.97134,0.98966,0.99491,0.77944,0.7894,0.50594,1.39243,0.00045285,0.00045285,0.00045285
140,25768.9,1.01975,0.83679,1.51143,0.98403,0.99649,0.99424,0.78251,0.78968,0.47411,1.38609,0.000445777,0.000445777,0.000445777
141,25907.1,0.99796,0.82537,1.50983,0.99195,0.99218,0.9931,0.78555,0.75745,0.47448,1.37716,0.000438703,0.000438703,0.000438703
142,26045.7,0.97138,0.83341,1.48533,0.99254,0.99951,0.99497,0.78981,0.74569,0.45421,1.35873,0.000431629,0.000431629,0.000431629
143,26184.6,1.01334,0.87085,1.51268,0.97327,0.97988,0.99437,0.78926,0.7759,0.49368,1.37307,0.000424556,0.000424556,0.000424556
144,26322.5,1.00659,0.81576,1.49657,0.93289,0.94655,0.98459,0.71291,0.91955,0.62065,1.49047,0.000417482,0.000417482,0.000417482
145,26462.9,1.02748,0.85484,1.52392,0.99799,0.99902,0.995,0.76827,0.82259,0.47382,1.39383,0.000410409,0.000410409,0.000410409
146,26600.6,0.97242,0.80508,1.48091,0.99549,0.9956,0.99444,0.78,0.77292,0.46598,1.37216,0.000403335,0.000403335,0.000403335
147,26738.8,0.98463,0.82775,1.48716,0.99061,0.99688,0.99268,0.77798,0.74305,0.46118,1.36106,0.000396262,0.000396262,0.000396262
148,26878.4,0.98482,0.7807,1.4932,0.99538,0.99566,0.99484,0.78926,0.73611,0.44816,1.35343,0.000389188,0.000389188,0.000389188
149,27016.5,0.94638,0.77628,1.4473,0.98934,0.99149,0.994,0.78792,0.75794,0.46329,1.36912,0.000382115,0.000382115,0.000382115
